step,flanker,target,condition,learner_correct,learner_pred,true_target
1,R,L,Incongruent,1,1,1
2,U,R,Incongruent,1,0,0
3,D,D,Congruent,1,3,3
4,R,R,Congruent,1,0,0
5,D,L,Incongruent,1,1,1
6,R,R,Congruent,1,0,0
7,L,U,Incongruent,1,2,2
8,R,L,Incongruent,1,1,1
9,R,L,Incongruent,1,1,1
10,R,R,Congruent,1,0,0
11,L,L,Congruent,1,1,1
12,R,D,Incongruent,1,3,3
13,U,U,Congruent,1,2,2
14,R,R,Congruent,1,0,0
15,L,U,Incongruent,1,2,2
16,U,L,Incongruent,1,1,1
17,L,L,Congruent,1,1,1
18,U,L,Incongruent,1,1,1
19,U,L,Incongruent,1,1,1
20,R,D,Incongruent,1,3,3
21,L,U,Incongruent,1,2,2
22,R,R,Congruent,1,0,0
23,R,R,Congruent,1,0,0
24,L,L,Congruent,1,1,1
25,U,L,Incongruent,1,1,1
26,L,D,Incongruent,1,3,3
27,D,U,Incongruent,1,2,2
28,L,U,Incongruent,1,2,2
29,L,U,Incongruent,1,2,2
30,D,D,Congruent,1,3,3
31,L,L,Congruent,1,1,1
32,D,D,Congruent,1,3,3
33,R,R,Congruent,1,0,0
34,D,R,Incongruent,1,0,0
35,D,D,Congruent,1,3,3
36,L,L,Congruent,1,1,1
37,U,U,Congruent,1,2,2
38,R,R,Congruent,1,0,0
39,U,R,Incongruent,1,0,0
40,U,U,Congruent,1,2,2
41,U,U,Congruent,1,2,2
42,R,L,Incongruent,1,1,1
43,R,D,Incongruent,1,3,3
44,U,L,Incongruent,1,1,1
45,U,U,Congruent,1,2,2
46,L,R,Incongruent,1,0,0
47,L,L,Congruent,1,1,1
48,U,R,Incongruent,1,0,0
49,L,L,Congruent,1,1,1
50,U,L,Incongruent,1,1,1
51,D,D,Congruent,1,3,3
52,L,L,Congruent,1,1,1
