Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 4800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 4850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 4900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 4950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 5950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 6950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 7950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 8950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 9500 | Avg Return: 0.00 | Learner Acc: 100.00%
